Year-Month,GDP (in billions),Per Capita Income,Unemployment Rate (%),Annual Income,Poverty Rate (%),Education Level (years),Population,Urbanization Rate (%)
2020-01-01,5595.193527108582,57132.74250350901,7.31354631568148,71004.29068914242,13.601568321849292,15.779335236643668,734346.5798974852,89.20130301141909
2020-02-01,2768.952588312085,37127.36593269257,7.406351216101065,95816.11689974704,14.47755818254699,10.072926848138898,707409.7511688326,69.70472375971478
2020-03-01,18047.09940111321,58666.19276174678,8.374299014982066,70283.19245131154,11.726682829674797,15.819272960245835,636703.5359653531,63.150064411500324
2020-04-01,18107.943086103278,58544.79908357011,9.260913337226615,57171.89483445653,9.398161575470969,10.258959471703456,528187.7483254636,75.33603417266903
2020-05-01,13028.92768819209,54120.3782186944,11.758520794625346,75030.17529096472,9.92996818054874,15.346858682188426,932361.1881275265,59.60582475112773
2020-06-01,7441.566029925313,31777.955682783428,7.163003483011953,62077.70233440616,15.087776841155577,13.166206654517799,906450.5045650387,53.03453312434656
2020-07-01,7634.981917640557,35403.90914407701,5.229564729412459,68193.17525211544,16.2856179415652,15.957788776715802,999858.8366430653,55.15518887642597
2020-08-01,14793.157898534548,54045.46686067428,9.951861947687036,95902.53661435677,16.873685655887726,10.442779388412394,998318.4185369527,55.1218335583109
2020-09-01,18045.094939098966,32676.880206251106,4.708322512620742,57027.1846460542,16.84427214191831,13.323125706407925,777715.8528013137,56.07610774049177
2020-10-01,17854.64206103723,26779.7098674437,6.389714207056361,97283.339467674,6.368091545730356,15.815815213714593,884493.7075902552,55.55308690597641
2020-11-01,15817.635371294853,42272.05049833401,2.7845638134226594,93374.54493692446,12.416304570538722,13.138587065020893,972382.864941214,75.63498979212858
2020-12-01,13198.601276931468,57446.19096643124,2.2535074341545753,43705.379435250754,5.863381400249664,13.776391828811576,924823.6953387058,57.275203375965795
2021-01-01,2598.6593349059276,47841.191866998925,11.626484146779251,34855.29106126158,13.242933234856032,14.174492133907703,623674.0508715988,63.826691332954525
2021-02-01,4070.9455677976616,42802.446803574596,10.359801205122059,37054.46009641986,11.622957520600655,12.72724638860664,725272.0676550467,85.87153639624047
